Museum,Kpi,Number_of_visitors,Date,Comments,Date_Logged,ObjectId,date,self_counts,total_counts,likes_counts,retweet_counts,neutral_counts,positive_counts,negative_counts,Sentiment_value,day,weekend
Bristol Museum,visits,1057.0,2017-12-16,,2017/12/29 15:44:34.735+00,1514,2017-12-16,2.0,0.0,6.0,1.0,0.0,0.0,0.0,,Saturday,True
Bristol Museum,visits,1471.0,2017-12-17,,2017/12/18 14:17:23.248+00,1491,2017-12-17,1.0,1.0,5.0,3.0,0.0,1.0,0.0,0.4019,Sunday,True
Bristol Museum,visits,685.0,2017-12-18,,2017/12/23 12:17:52.805+00,1475,2017-12-18,9.0,1.0,38.0,17.0,0.0,1.0,0.0,0.296,Monday,False
Bristol Museum,visits,971.0,2017-12-19,,2017/12/23 12:18:14.234+00,1459,2017-12-19,4.0,1.0,34.0,19.0,0.0,0.0,1.0,-0.0258,Tuesday,False
Bristol Museum,visits,1030.0,2017-12-20,,2017/12/23 12:18:32.596+00,1425,2017-12-20,5.0,1.0,8.0,6.0,1.0,0.0,0.0,0.0,Wednesday,False
Bristol Museum,visits,906.0,2017-12-21,,2017/12/23 12:18:51.735+00,1409,2017-12-21,3.0,3.0,12.0,8.0,1.0,1.0,1.0,0.07070000000000003,Thursday,False
Bristol Museum,visits,927.0,2017-12-22,,2017/12/23 12:19:12.552+00,1397,2017-12-22,3.0,1.0,7.0,4.0,0.0,0.0,1.0,-0.5574,Friday,False
Bristol Museum,visits,898.0,2017-12-23,,2017/12/29 15:43:15.403+00,1385,2017-12-23,3.0,2.0,16.0,8.0,1.0,1.0,0.0,0.125,Saturday,True
Bristol Museum,visits,395.0,2017-12-24,Christmas Eve early close 14:00,2017/12/29 15:42:50.452+00,1338,2017-12-24,29.0,1.0,171.0,70.0,0.0,1.0,0.0,0.7477,Sunday,True
Bristol Museum,visits,891.0,2017-12-27,,2017/12/29 15:41:47.642+00,1266,2017-12-27,2.0,1.0,71.0,41.0,0.0,1.0,0.0,0.1531,Wednesday,False
Bristol Museum,visits,1594.0,2017-12-28,,2017/12/29 15:40:25.703+00,1245,2017-12-28,7.0,1.0,280.0,197.0,0.0,1.0,0.0,0.7964,Thursday,False
Bristol Museum,visits,1927.0,2017-12-29,,2017/12/31 11:44:27.241+00,1233,2017-12-29,1.0,0.0,5.0,2.0,0.0,0.0,0.0,,Friday,False
Bristol Museum,visits,1645.0,2017-12-30,,2017/12/31 11:41:59.015+00,1560,2017-12-30,1.0,0.0,7.0,3.0,0.0,0.0,0.0,,Saturday,True
Bristol Museum,visits,632.0,2018-01-01,,2018/01/13 12:58:00.747+00,1522,2018-01-01,2.0,1.0,27.0,11.0,1.0,0.0,0.0,0.0,Monday,False
Bristol Museum,visits,1458.0,2018-01-02,,2018/01/13 12:57:41.220+00,1516,2018-01-02,1.0,2.0,2.0,1.0,1.0,1.0,0.0,0.07655,Tuesday,False
Bristol Museum,visits,1087.0,2018-01-03,,2018/01/13 12:57:21.019+00,1505,2018-01-03,3.0,3.0,12.0,10.0,1.0,2.0,0.0,0.4615666666666667,Wednesday,False
Bristol Museum,visits,891.0,2018-01-04,,2018/01/13 12:56:46.745+00,1497,2018-01-04,2.0,2.0,24.0,8.0,1.0,1.0,0.0,0.1591,Thursday,False
Bristol Museum,visits,866.0,2018-01-05,,2018/01/13 12:55:18.019+00,1489,2018-01-05,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,Friday,False
Bristol Museum,visits,1761.0,2018-01-06,,2018/01/13 12:46:17.701+00,1481,2018-01-06,3.0,3.0,87.0,28.0,1.0,1.0,1.0,0.07690000000000001,Saturday,True
Bristol Museum,visits,1426.0,2018-01-07,,2018/01/13 12:33:41.630+00,1473,2018-01-07,1.0,2.0,21.0,5.0,0.0,1.0,1.0,0.2053,Sunday,True
Bristol Museum,visits,651.0,2018-01-09,,2018/01/13 12:32:12.136+00,1465,2018-01-09,3.0,0.0,11.0,3.0,0.0,0.0,0.0,,Tuesday,False
Bristol Museum,visits,639.0,2018-01-10,,2018/01/13 12:31:30.931+00,1436,2018-01-10,2.0,2.0,10.0,4.0,0.0,2.0,0.0,0.64095,Wednesday,False
Bristol Museum,visits,681.0,2018-01-11,,2018/01/13 12:30:41.011+00,1428,2018-01-11,1.0,3.0,7.0,6.0,2.0,1.0,0.0,0.27253333333333335,Thursday,False
Bristol Museum,visits,585.0,2018-01-12,,2018/01/13 11:34:49.801+00,1420,2018-01-12,4.0,5.0,52.0,43.0,1.0,4.0,0.0,0.5250600000000001,Friday,False
Bristol Museum,visits,585.0,2018-01-13,,2018/01/14 12:20:48.256+00,1416,2018-01-13,0.0,4.0,8.0,1.0,4.0,0.0,0.0,0.0,Saturday,True
Bristol Museum,visits,1342.0,2018-01-17,the counter stopped at 4pm,2018/01/20 14:48:26.611+00,1408,2018-01-17,5.0,85.0,155.0,47.0,73.0,9.0,3.0,0.03219176470588235,Wednesday,False
Bristol Museum,visits,747.0,2018-01-18,,2018/01/20 14:48:49.394+00,1400,2018-01-18,9.0,16.0,150.0,80.0,8.0,6.0,2.0,0.08341875,Thursday,False
Bristol Museum,visits,948.0,2018-01-19,,2018/01/20 14:49:07.434+00,1388,2018-01-19,1.0,4.0,2.0,2.0,1.0,2.0,1.0,0.062875,Friday,False
Bristol Museum,visits,2945.0,2018-01-20,,2018/01/21 14:16:01.115+00,1361,2018-01-20,0.0,2.0,1.0,3.0,2.0,0.0,0.0,0.0,Saturday,True
Bristol Museum,visits,2581.0,2018-01-21,,2018/02/10 12:13:34.807+00,1356,2018-01-21,0.0,5.0,3.0,0.0,3.0,2.0,0.0,0.1678,Sunday,True
Bristol Museum,visits,651.0,2018-01-23,,2018/02/10 12:12:43.073+00,1346,2018-01-23,3.0,1.0,11.0,13.0,0.0,1.0,0.0,0.5411,Tuesday,False
Bristol Museum,visits,835.0,2018-01-24,,2018/02/10 12:12:06.309+00,1336,2018-01-24,1.0,1.0,11.0,2.0,1.0,0.0,0.0,0.0,Wednesday,False
Bristol Museum,visits,710.0,2018-01-25,,2018/02/10 12:11:36.822+00,1260,2018-01-25,2.0,1.0,9.0,7.0,0.0,1.0,0.0,0.4404,Thursday,False
Bristol Museum,visits,829.0,2018-01-26,,2018/02/10 12:11:12.853+00,1246,2018-01-26,3.0,6.0,28.0,8.0,1.0,5.0,0.0,0.4659333333333333,Friday,False
